"","title","genres","release_date","release_country","movie_rating","review_rating","movie_run_time","plot","cast","language","filming_locations","budget","lon","lat"
"1","Gut (2012)","Drama| Horror| Thriller","26-Oct-12","USA",NA,3.9,"91 min","Directed by Elias. With Jason Vail, Nicholas Wilder, Sarah Schoofs, Kirstianna Mueller. Family man Tom has seen something he can't forget, a mysterious video with an ugly secret that soon spreads into his daily life and threatens to dismantle everything around him.","Jason Vail|Nicholas Wilder|Sarah Schoofs|Kirstianna Mueller|Kaitlyn Mueller|Angie Bullaro|Ria Burns-Wilder|Miles Joris-Peyrafitte|Karl Pfeiffer|Leisa Haddad|Misty Gonzalez|Jordan Sariego|Christine Kadets|Deborah J. Atuk|J. Brett Rose","English","New York, USA",NA,-74.0059728,40.7127753
"2","Sleepwalking (2017)","Horror","21-Oct-17","Canada",NA,NA,NA,"Directed by David Briggs. With Alysia Topol, Anthony Makela, Kelsi Ashley, Patrick J. Carew.","Alysia Topol|Anthony Makela|Kelsi Ashley|Patrick J. Carew|Chiv Chivaul|Starlotte Dresen|Melanie Durette|Emilie Overton|Corey Pascall|Lindsay Primeau|Trish Rainone|Tammy-lynn Wilcox","English","Sudbury, Ontario, Canada",NA,-80.993029,46.4917317
"3","Treasure Chest of Horrors II (2013)","Comedy| Horror| Thriller","23-Apr-13","USA","NOT RATED",3.7,"82 min","Directed by M. Kelley, Shawn C. Phillips, Alex Powers. With Veronica Ricci, Nicholas Adam Clark, James Cullen Bressack, Nick Waugh. Mona Screamalot, along with her crazy family, prepares you for six short horror films from deep within her trashy treasure chest. This anthology features party killers, giant killer babies, an angry murderous child, a bacterial infection like no other, a murderous cross dresser,a killer in the woods, and Satan. Oh yeah, don't forget the buckets of blood.","Veronica Ricci|Nicholas Adam Clark|James Cullen Bressack|Nick Waugh|Shawn C. Phillips|Brent Buser|Miles Dougal|Joseph Frantz|M. Kelley|Brendan Mitchell|Joben Penuliar|Ethan Phillips|Kim Phillips|Stephen Phillips|Alex Powers","English","Baltimore, Maryland, USA",NA,-76.6121893,39.2903848
"4","Parasyte: Part 2 (2015)","Action| Drama| Horror| Sci-Fi","25-Apr-15","Japan",NA,6.5,"117 min","Directed by Takashi Yamazaki. With Shôta Sometani, Eri Fukatsu, Ai Hashimoto, Sadao Abe. Humanity is under attack by human-mimicking flesh-eating alien parasites. One parasite bonds with his young high school student host, and he convinces the parasite to help him stop the others.","Shôta Sometani|Eri Fukatsu|Ai Hashimoto|Sadao Abe|Satoshi Araki|Tadanobu Asano|Kazuki Kitamura|Jun Kunimura|Nao Ohmori|Pierre Taki","Japanese","Tokyo, Japan",NA,139.6503106,35.6761919
"5","Stranger in the House (2015)","Horror| Mystery| Thriller","28-May-17","Spain","PG-13",4.6,"90 min","Directed by Devon Gummersall. With Annabella Sciorra, Tammy Blanchard, Nathan Darrow, Dennis Boutsikaris. Eve has married the man of her dreams but when they return to live in the house willed to him by his first wife who died under horrific circumstances, it becomes a waking nightmare as Eve falls into a spiral of suspicion and madness.","Annabella Sciorra|Tammy Blanchard|Nathan Darrow|Dennis Boutsikaris|Jenn Liu|Roberta Maxwell|Bettina Skye|Angela Lin|Susan-Kate Heaney|Paul Urcioli|Yvette Mercedes|Peter Sabri|Fatima Mai|Denis Silvestri|Mike Nojun Park","English","Warwick, New York, USA",NA,-74.3822058,41.2638494
"6","Rise of the Animals (2011)","Adventure| Comedy| Horror","1-May-12","USA","NOT RATED",3.6,"70 min","Directed by Chris Wojcik. With Greg Hoople, Stephanie Motta, Adam Schonberg, Nikki Preston. In a world where animals have turned on humanity, a teen travels across the country in search of the girl of his dreams.","Greg Hoople|Stephanie Motta|Adam Schonberg|Nikki Preston|Charles Bigelow|Phillip Musumeci|Katie LeVander|Melissa Orioli|Laura Blank|Tricia Dalusio|Brittany Cerra|Renee Radwan|Justine Turner|Max Roth|Charlie Roth","English","Rochester, New York, USA","$7,000",-77.6088465,43.1565779
"7","Dark Medicine (2013)","Horror| Sci-Fi","2013","USA","NOT RATED",2.8,"72 min","Directed by Tariq Nasheed. With Ola Akinroluyo, Byron Baudo, Josh Bednarsky, Emily Brooks. A middle school in a small college town was recently shut down because of mysterious toxins found on the premise. These toxins were cause by a secret eugenics program gone wrong. Tonight, a group of college friends discover the abandoned school, and decide to explore it just for fun. Once inside, they soon realize that that school is not so abandoned.","Ola Akinroluyo|Byron Baudo|Josh Bednarsky|Emily Brooks|Corey Browne|Shawn Calloway|Drew Chase|JinYoung Choi|Russ Kingston|Abbey Kochman|Nyell Leahy|Kelci C. Magel|Robert Maxwell|Tariq Nasheed|Rachelle Neal","English","Atlanta, Georgia, USA",NA,-84.3879824,33.7489954
"8","Sexy Durga (2017)","Drama| Fantasy| Horror| Mystery| Thriller","21-Mar-17","USA",NA,5.9,"85 min","Directed by Sanal Kumar Sasidharan. With Rajshri Deshpande, Bilas Nair, Arun Sol, Sujish. Durga, a north Indian migrant and a Keralite youth named Kabeer are running away on a midnight. They are waiting for a transport to the nearest railway station to catch a train to a distant place. Two small time gangsters, transporting arms, offer assistance to the couple. The hapless ""Durga"" encounters a cross section of the society through the rest of the night. Parallel to the journey of Durga...","Rajshri Deshpande|Bilas Nair|Arun Sol|Sujish|Vedh","Malayalam","Thiruvananthapuram, Kerala, India","INR 6,000,000",76.9366376,8.5241391
"9","Circus of the Dead (2014)","Action| Horror| Thriller","13-Jan-17","USA",NA,6,"102 min","Directed by Billy 'Bloody Bill' Pon. With Bill Oberst Jr., Parrish Randall, Chanel Ryan, Roger Edwards. A man becomes entangled in a deadly morality game when the circus comes to town and a sadistic clown forces him to examine the things in life he takes for granted in the most horrific ways.","Bill Oberst Jr.|Parrish Randall|Chanel Ryan|Roger Edwards|Brad Potts|Ryan Clapp|Rusty Edwards|Mike Williams|Jed Duesler|Travis Steele|Steve Brooks|Jordan Bell|Madi Lane|Kyle Mueller|Sergio Gracida","English","Odessa, Texas, USA","$150,000",-102.3676431,31.8456816
"10","Zombie Resurrection (2014)","Horror","23-Mar-15","UK","NOT RATED",2.7,"86 min","Directed by Jake Hawkins, Andy Phelps. With Eric Colvin, Jim Sweeney, Danny Brown, Simon Burbage. 15 months after the apocalypse, a group of survivors are forced to take refuge in an abandoned school, where they encounter a mysterious zombie with the power to bring the undead back to life.","Eric Colvin|Jim Sweeney|Danny Brown|Simon Burbage|Jade Colucci|Joe Rainbow|Rachel Nottingham|Shamiso Mushambi|Georgia Winters|Rupert Phelps|Jamie Frampton|Kate Korbel|Andy Bazire|Ian McIntyre|Jake Hawkins","English","Hampshire, England, UK","£100,000",-1.3080629,51.0576948
