"","city","state","city_size","mode","n","percent","moe","state_abb","state_region","city_state","lon","lat"
"1","Aberdeen city","South Dakota","Small","Bike",110,0.8,0.5,"SD","North Central","Aberdeen city, South Dakota",-98.4864829,45.4646985
"2","Acworth city","Georgia","Small","Bike",0,0,0.4,"GA","South","Acworth city, Georgia",-84.6768796,34.0659329
"3","Addison village","Illinois","Small","Bike",43,0.2,0.3,"IL","North Central","Addison village, Illinois",-87.9889556,41.931696
"4","Adelanto city","California","Small","Bike",0,0,0.5,"CA","West","Adelanto city, California",-117.409215,34.5827699
"5","Adrian city","Michigan","Small","Bike",121,1.5,1,"MI","North Central","Adrian city, Michigan",-84.0371659,41.8975471
"6","Agawam Town city","Massachusetts","Small","Bike",0,0,0.2,"MA","Northeast","Agawam Town city, Massachusetts",-72.6148117,42.0695391
"7","Agoura Hills city","California","Small","Bike",84,0.8,1.1,"CA","West","Agoura Hills city, California",-118.7616764,34.1533395
"8","Aiken city","South Carolina","Small","Bike",23,0.2,0.3,"SC","South","Aiken city, South Carolina",-81.7195533,33.5604168
"9","Alabaster city","Alabama","Small","Bike",0,0,0.2,"AL","South","Alabaster city, Alabama",-86.8163773,33.2442813
"10","Alameda city","California","Small","Bike",576,1.5,0.4,"CA","West","Alameda city, California",-122.2821855,37.7798721
"11","Alamogordo city","New Mexico","Small","Bike",35,0.3,0.2,"NM","West","Alamogordo city, New Mexico",-105.960265,32.8995325
"12","Albany city","Georgia","Small","Bike",77,0.3,0.2,"GA","South","Albany city, Georgia",-84.155741,31.5785074
"13","Albany city","New York","Small","Bike",419,0.9,0.3,"NY","Northeast","Albany city, New York",-73.7562317,42.6525793
"14","Albany city","Oregon","Small","Bike",281,1.3,0.6,"OR","West","Albany city, Oregon",-123.1059282,44.6365107
"15","Albertville city","Alabama","Small","Bike",2,0,0.1,"AL","South","Albertville city, Alabama",-86.2088669,34.2675937
"16","Alexandria city","Louisiana","Small","Bike",100,0.5,0.3,"LA","South","Alexandria city, Louisiana",-92.4451371,31.3112936
"17","Algonquin village","Illinois","Small","Bike",109,0.7,0.6,"IL","North Central","Algonquin village, Illinois",-88.2942493,42.1655801
"18","Alhambra city","California","Small","Bike",198,0.5,0.2,"CA","West","Alhambra city, California",-118.1270146,34.095287
"19","Aliso Viejo city","California","Small","Bike",85,0.3,0.2,"CA","West","Aliso Viejo city, California",-117.7262981,33.5684605
"20","Allen city","Texas","Small","Bike",21,0,0.1,"TX","South","Allen city, Texas",-96.6705503,33.1031744
"21","Allen Park city","Michigan","Small","Bike",55,0.5,0.4,"MI","North Central","Allen Park city, Michigan",-83.2110375,42.2575385
"22","Alliance city","Ohio","Small","Bike",19,0.2,0.2,"OH","North Central","Alliance city, Ohio",-81.1059309,40.9153362
"23","Alpharetta city","Georgia","Small","Bike",0,0,0.1,"GA","South","Alpharetta city, Georgia",-84.2940899,34.0753762
"24","Altamonte Springs city","Florida","Small","Bike",282,1.3,0.7,"FL","South","Altamonte Springs city, Florida",-81.3656242,28.6611089
"25","Alton city","Illinois","Small","Bike",10,0.1,0.1,"IL","North Central","Alton city, Illinois",-90.1842764,38.8906038
"26","Altoona city","Pennsylvania","Small","Bike",33,0.2,0.2,"PA","Northeast","Altoona city, Pennsylvania",-78.3947359,40.5186809
"27","Alvin city","Texas","Small","Bike",127,1.2,0.7,"TX","South","Alvin city, Texas",-95.2441009,29.4238472
"28","American Fork city","Utah","Small","Bike",32,0.3,0.3,"UT","West","American Fork city, Utah",-111.7957645,40.3768954
"29","Ames city","Iowa","Small","Bike",808,2.5,0.6,"IA","North Central","Ames city, Iowa",-93.6319131,42.0307812
"30","Anderson city","Indiana","Small","Bike",96,0.4,0.2,"IN","North Central","Anderson city, Indiana",-85.6802541,40.1053196
"31","Anderson city","South Carolina","Small","Bike",10,0.1,0.2,"SC","South","Anderson city, South Carolina",-82.6501332,34.5034394
"32","Andover city","Minnesota","Small","Bike",22,0.1,0.2,"MN","North Central","Andover city, Minnesota",-93.2913405,45.2332984
"33","Ankeny city","Iowa","Small","Bike",52,0.2,0.2,"IA","North Central","Ankeny city, Iowa",-93.6001278,41.7317884
"34","Annapolis city","Maryland","Small","Bike",41,0.2,0.2,"MD","South","Annapolis city, Maryland",-76.4921829,38.9784453
"35","Anniston city","Alabama","Small","Bike",12,0.1,0.2,"AL","South","Anniston city, Alabama",-85.8316318,33.6598257
"36","Apache Junction city","Arizona","Small","Bike",71,0.6,0.6,"AZ","West","Apache Junction city, Arizona",-111.5495777,33.4150485
"37","Apex town","North Carolina","Small","Bike",0,0,0.2,"NC","South","Apex town, North Carolina",-78.8502856,35.732652
"38","Apopka city","Florida","Small","Bike",79,0.4,0.4,"FL","South","Apopka city, Florida",-81.5322149,28.6934076
"39","Apple Valley city","Minnesota","Small","Bike",79,0.3,0.2,"MN","North Central","Apple Valley city, Minnesota",-93.21772,44.7319094
"40","Apple Valley town","California","Small","Bike",21,0.1,0.1,"CA","West","Apple Valley town, California",-117.1858759,34.5008311
"41","Appleton city","Wisconsin","Small","Bike",399,1.1,0.4,"WI","North Central","Appleton city, Wisconsin",-88.4153847,44.2619309
"42","Arcadia city","California","Small","Bike",90,0.4,0.2,"CA","West","Arcadia city, California",-118.0353449,34.1397292
"43","Ardmore city","Oklahoma","Small","Bike",19,0.2,0.3,"OK","South","Ardmore city, Oklahoma",-97.1436254,34.1742611
"44","Arlington Heights village","Illinois","Small","Bike",154,0.4,0.2,"IL","North Central","Arlington Heights village, Illinois",-87.9806265,42.0883603
"45","Arnold city","Missouri","Small","Bike",0,0,0.3,"MO","North Central","Arnold city, Missouri",-90.3776187,38.4328317
"46","Arvin city","California","Small","Bike",0,0,0.6,"CA","West","Arvin city, California",-118.833105,35.2017986
"47","Asheboro city","North Carolina","Small","Bike",10,0.1,0.2,"NC","South","Asheboro city, North Carolina",-79.8136446,35.7079146
"48","Asheville city","North Carolina","Small","Bike",428,1.1,0.3,"NC","South","Asheville city, North Carolina",-82.5514869,35.5950581
"49","Ashland city","Kentucky","Small","Bike",0,0,0.4,"KY","South","Ashland city, Kentucky",-82.6379387,38.4784144
"50","Ashland city","Ohio","Small","Bike",49,0.6,0.4,"OH","North Central","Ashland city, Ohio",-82.3182178,40.8686675
"51","Ashland city","Oregon","Small","Bike",560,6.2,1.9,"OR","West","Ashland city, Oregon",-122.7094767,42.1945758
